N,player_name,team,conf,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,porpag,adjoe,pfr,pid,ast.tov,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,extra,ET,VaCatEf
570,Jalonni Diggs,UC Riverside,BW,28,33.9,95.3,14.5,50,49.17,0.3,6.7,17.6,22.9,0,3,0,15,30,0.5,18,54,0.333,0.4,1.7,3.6,0.0338524,84.9625,2.5,1059,1.60002804,103.958,104.592,1.05496,55.9354,-3.77761,-2.05514,-1.72247,-2.40423,14.2143,-1.99133,-0.4129,0.0357,0.7143,0.75,1.1429,0.3571,0.0357,3,8.93345,0.333333333333333,MEDIO
571,Gary Correia,Massachusetts,A10,28,26.3,85.6,16,43.9,47.71,1.8,6.8,19,31.3,13,19,0.684,7,18,0.389,12,39,0.308,0.6,1.3,33.3,-0.0716407,82.3733,3.5,1061,1.22223373,109.599,106.1,0.762947,43.2071,-5.09424,-2.59072,-2.50352,-4.95892,11,-3.53928,-1.41964,0.1786,0.6786,0.8571,1.1786,0.25,0.0714,2.25,7.25285,0.283475783475784,MEDIO
572,Matt Hill,Massachusetts,A10,2,1.5,0,9.8,0,0,0,18.4,0,32.5,0,0,0,0,0,0,0,3,0,0,0,0,-2.71837,-2.77678,2.2,1062,0,107.783,103.025,0.725837,2.78874,-14.8257,-10.3022,-4.52343,-9.18218,9,-7.37686,-1.80532,0,1.5,1.5,0,0,0,0,9.78204,0,BAJO
573,Cory Pflieger,Rice,CUSA,32,70.5,98.8,17.4,50.7,52.87,2.3,12,16.5,19.9,33,46,0.717,33,76,0.434,54,149,0.362,0.2,1.4,20.4,1.13874,95.9031,2.5,1065,1.35286736,109.419,105.659,2.01673,142.402,0.120894,0.623028,-0.502135,-0.88894,28.3125,0.068223,-0.957163,0.5312,2.9375,3.4688,2.1562,0.625,0.0625,8.1562,10.0943,0.325944895796538,MEDIO
574,Ryan Childress,Tennessee,SEC,4,0.6,74.9,45.8,25,42.37,0,85,21.7,30.3,3,4,0.75,1,1,1,0,3,0,0,0,100,0.093618,97.7566,0,1067,0.5,78.996,77.3556,0.339444,2.98366,-10.4703,-10.2721,-0.198125,-5.53772,2,-6.75117,1.21345,0,1.5,1.5,0.25,0,0,1.25,20.3425,0.333333333333333,MEDIO
575,Emmanuel Adeife,Louisiana Lafayette,SB,16,14.2,95.7,12.5,42.1,46.05,12.7,24.9,0,17.2,12,24,0.5,8,19,0.421,0,0,0,8.3,0.7,126.3,-0.0179915,83.7663,7.2,1068,0,98.9778,98.3636,1.00277,35.7292,-6.10349,-5.35639,-0.747101,-3.39836,10.4375,-4.01824,0.61988,1.1875,2.0625,3.25,0,0.125,0.8125,1.75,0,0,BAJO
576,Dan Fox,Dayton,A10,4,0.4,200,5.4,100,100,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0.384016,158.045,6.7,1069,0,104.29,108.873,0.0905351,0.625706,0.587819,1.14789,-0.560069,-0.812274,1.5,-3.0413,2.22903,0,0,0,0,0,0,0.5,0,0,BAJO
577,Kris Richard,Tulane,CUSA,30,71,89.3,23.8,44.2,47.85,4,13.3,16.6,21.8,63,93,0.677,96,212,0.453,20,73,0.274,1.7,4,32.6,0.928138,93.6812,3.7,1070,0.83784,96.1667,94.2669,3.15482,176.17,1.75356,-1.11076,2.86432,1.66761,28.7667,-0.761518,2.42913,1,3.0333,4.0333,2.0667,1.9,0.4333,10.5,5.10119,0.287929697596278,MEDIO
578,Greyson Sargent,East Carolina,CUSA,7,1,153,14.7,150,128.21,0,10.3,18,37.4,2,2,1,0,0,0,1,1,1,0,5.5,200,0.313419,141.745,3.6,1071,1,107.326,105.754,0.111852,2.29151,8.302,8.34578,-0.0437791,12.691,1.5714,7.83533,4.85569,0,0.1429,0.1429,0.1429,0.1429,0,0.7143,5.54822,0,BAJO
579,Nikola Gacesa,FIU,SB,26,55.2,100.4,20.1,45.5,51.37,6.3,13.4,5.9,16.6,57,66,0.864,68,168,0.405,19,44,0.432,1.8,0.9,31.1,1.36576,99.2405,3,1072,0.44734861,106.47,105.819,1.86507,108.953,-2.44792,-1.10016,-1.34776,-1.08258,26.5385,0.246099,-1.32868,1.4231,2.9615,4.3846,0.6538,0.3846,0.4231,9.6154,3.86364,0.350829725829726,MEDIO
580,Nkem Ojougboh,Northeastern,CAA,32,66.5,104,17.7,53.9,57.17,8.6,13.7,9.3,22.2,59,89,0.663,89,164,0.543,0,1,0,3.9,0.9,53.9,1.62964,101.926,4.1,1073,0.66664577,100.238,100.025,2.42165,132.441,0.821944,-0.543105,1.36505,-0.322715,26.9062,-0.693522,0.370807,1.75,2.8438,4.5938,1.0625,0.375,0.8438,7.4062,0.0769312,0.180894308943089,BAJO
581,Austin Falke,Stephen F. Austin,Slnd,4,0.6,61.4,21.7,50,50,0,0,0,40.3,0,0,0,1,2,0.5,0,0,0,0,8.8,0,-0.141202,61.0142,0,1074,0,81.0144,82.0506,0.268504,1.72111,-2.05056,-9.07929,7.02873,-0.610312,1.75,-7.07681,6.4665,0,0,0,0,0.25,0,0.5,0,0,BAJO
582,Joseph Harris,Coastal Carolina,BSth,27,83.3,105.8,24.8,57.2,59.08,13.7,25.5,13.5,22.8,82,126,0.651,171,298,0.574,0,1,0,3.7,2.3,42.1,2.78672,108.373,3.6,1075,0.58426115,96.2017,99.2349,3.125,221.583,2.67755,0.614676,2.06288,1.86469,33.7778,1.76349,0.101199,4.1111,7.7037,11.8148,1.9259,1.3333,1.0741,15.7037,0.0635979,0.191275167785235,BAJO
583,Dorian McDaniel,Prairie View A&M,SWAC,27,49.6,101.7,19.7,47,48.17,6.8,16.8,6.2,11.7,15,22,0.682,66,143,0.462,25,77,0.325,0.4,1.9,10,0.949811,97.1271,5.7,1076,0.65218922,99.3587,104.646,1.59687,113.138,-3.07891,-1.02599,-2.05292,-3.02921,21.4815,-1.44997,-1.57924,1.3333,3.0741,4.4074,0.5556,0.7037,0.0741,8.2222,7.69712,0.316183816183816,MEDIO
584,Logan Johnson,Coastal Carolina,BSth,27,67.2,92,18.4,43.7,47.35,4.7,9.6,23.7,27.9,36,53,0.679,49,111,0.441,16,56,0.286,0.3,2.8,31.7,0.23517,86.7877,3.4,1077,1.40001666,104.232,107.519,1.74911,133.577,-2.7977,-1.85122,-0.946485,-2.84995,27.2593,-2.77676,-0.0731908,1.1481,2.3333,3.4815,3.3704,1.2963,0.0741,6.7407,4.41475,0.29000429000429,MEDIO
585,Mario Sisinni,Coastal Carolina,BSth,20,61.2,99.5,18.7,47.7,52.69,0.8,6.8,20.2,24.1,46,57,0.807,33,77,0.429,34,99,0.343,0,1.5,32.4,1.22546,94.9408,2.9,1078,1.32692314,108.639,112.837,1.5419,98.9969,-4.2998,-1.03959,-3.26021,-3.75298,33.5,-1.82751,-1.92547,0.25,2.05,2.3,3.45,0.85,0,10.7,8.56981,0.314574314574315,MEDIO
586,Greg Cage,Alabama,SEC,4,0.8,71.9,30.6,50,51.28,11,0,0,37.1,2,4,0.5,1,2,0.5,0,0,0,0,0,200,-0.0580871,77.571,4,1079,0,112.421,112.432,0.120017,0.93151,-15.3995,-8.84348,-6.55603,-15.0236,2.5,-7.88333,-7.14028,0.25,0,0.25,0,0,0,1,0,0,BAJO
587,Diante Garrett,Iowa St.,B12,31,79.3,90.1,23.8,42.2,47.01,1.1,10.5,33.6,24.6,72,106,0.679,95,210,0.452,9,47,0.191,0.4,1.7,41.2,1.41965,96.7634,1.9,1080,1.6736825,102.765,98.3534,3.17109,165.38,-0.833474,-1.49769,0.664217,-1.40959,32.871,-1.81418,0.40459,0.2903,3,3.2903,5.129,0.9032,0.129,9.3226,2.89876,0.246538331644715,BAJO
588,Zack Crimmins,Columbia,Ivy,28,23,65.1,20.3,32.4,33.14,9.2,25.7,4.3,24.5,8,22,0.364,22,68,0.324,0,0,0,4.7,0.5,32.4,-0.663481,63.5039,8.8,1081,0.23813333,91.1022,94.8808,1.00779,54.6242,-9.90404,-10.2286,0.324565,-10.3154,9.25,-9.78838,-0.527037,0.75,2,2.75,0.1786,0.0714,0.3571,1.8571,0,0,BAJO
589,Asenso Ampim,Columbia,Ivy,17,34,75.8,21.2,35.6,39.22,7.1,22.7,11.3,24.1,21,36,0.583,34,92,0.37,2,12,0.167,1.9,1.6,34.6,-0.7688,74.4071,4.3,1083,0.59371013,92.137,97.0241,2.28015,80.1869,-4.97661,-6.28681,1.3102,-5.7555,22.4706,-5.5154,-0.240101,1.4118,4.2941,5.7059,1.1176,0.5882,0.3529,5.5882,1.92609,0.206521739130435,BAJO
590,Jack Eggleston,Penn,Ivy,28,75.1,104.8,17.6,47.2,52.89,5.8,17,13,15.3,68,87,0.782,75,159,0.472,17,54,0.315,2.5,2.3,40.8,1.66939,100.28,3.6,1084,1.28200156,98.5651,101.564,2.57535,169.82,1.62292,0.184894,1.43803,1.85206,30.1786,0.947293,0.904766,1.5357,4.3571,5.8929,1.7857,1.1786,0.7143,9.6071,3.73408,0.314640111809923,MEDIO
591,Remy Cofield,Penn,Ivy,8,7.6,85,18.4,46.9,54.25,5.4,9.7,12.2,33.6,7,9,0.778,6,12,0.5,1,4,0.25,0,5.5,56.3,0.0504045,85.6341,4.2,1085,0.55555556,95.6607,92.7077,1.23729,19.0209,-1.78066,-3.33297,1.55231,-1.89932,10.625,-3.64427,1.74494,0.5,0.875,1.375,0.625,1,0,2.75,2.73323,0.291666666666667,MEDIO
592,Adrian Williams,Brown,Ivy,27,83.1,103.3,16.3,54,58.02,1.5,8.1,8.2,17.7,53,63,0.841,35,72,0.486,58,154,0.377,0,1.9,27.9,1.41257,96.0766,1.8,1086,0.75,107.365,111.879,1.72101,139.779,-1.86754,0.349337,-2.21688,-2.05373,34.6296,-0.556575,-1.49715,0.4074,2.3333,2.7407,1.2222,1.037,0,11,10.0815,0.350348725348725,MEDIO
593,Tyler Bernardini,Penn,Ivy,25,65.4,97.5,26,46.9,52.1,5,10.9,16.1,18,84,112,0.75,71,154,0.461,39,122,0.32,1,2.7,40.6,1.9806,103.752,4.1,1087,0.83050853,100.801,103.72,2.29184,134.992,0.131986,1.09288,-0.960893,0.931461,29.44,1.54261,-0.611147,1.28,2.72,4,1.96,1.36,0.28,13.72,9.6875,0.313515719253424,MEDIO
594,Craig Williams,Temple,A10,27,28.5,111.3,18.3,51.6,53.29,4.2,19.3,12.3,12,10,11,0.909,9,33,0.273,38,95,0.4,1.4,1.3,8.6,1.27256,109.787,3.9,1088,1.71436843,96.0857,94.1006,1.60398,73.8684,3.21139,2.61873,0.592662,4.31646,14.3704,2.81823,1.49823,0.5185,2.5185,3.037,0.8889,0.2963,0.1852,5.2593,14.9865,0.290909090909091,MEDIO
595,Lavoy Allen,Temple,A10,33,76,123.8,18.3,59.2,60.27,14.6,17.9,13.8,13.6,52,81,0.642,144,240,0.6,7,21,0.333,5.1,0.8,31,4.25862,123.473,3.1,1089,1.61907765,95.9099,92.2558,3.69435,198.014,8.86223,4.80595,4.05628,6.68523,31.303,4.77883,1.9064,3.8788,5.0909,8.9697,2.0606,0.3939,1.5152,10.9394,1.2423,0.366666666666667,MEDIO
596,Jeff Jordan,Illinois,B10,33,20.3,92.3,11.1,45.3,44.69,1.4,3.7,20.6,26.8,3,8,0.375,13,29,0.448,1,3,0.333,0.4,1.4,25,-0.0060045,84.0607,1.2,1090,2.53871536,97.1714,93.0833,0.966368,36.5601,-2.39619,-3.00173,0.605549,-0.399384,8.4242,-2.05291,1.65353,0.0909,0.2727,0.3636,1,0.1818,0.0303,0.9697,0.684574,0.316091954022989,MEDIO
597,Bryan Petersen,Iowa St.,B12,31,72.8,107.4,13.8,56.7,59.77,1.9,12.3,17.9,22.5,29,34,0.853,17,30,0.567,48,127,0.378,0.4,1.3,21.7,1.66413,100.231,2.9,1091,1.80429962,102.77,98.358,2.90921,151.715,4.01905,2.23019,1.78887,1.71887,30.1613,-0.126027,1.8449,0.4516,3.2258,3.6774,2.6774,0.6452,0.0968,6.6774,8.53219,0.377865266841645,MEDIO
598,Alex Rubin,Illinois St.,MVC,21,16.4,97.6,10.8,42.4,44.63,1,6.6,15.7,22.5,4,6,0.667,2,9,0.222,8,24,0.333,0.5,2.2,18.2,0.066826,86.109,3.5,1092,2.22211852,99.334,96.3713,1.08453,35.6567,-0.728861,-1.03387,0.305011,-1.47727,10.9524,-2.96313,1.48586,0.0952,0.619,0.7143,0.9524,0.381,0.0476,1.5238,6.50044,0.240740740740741,BAJO
599,Clive Weeden,Dartmouth,Ivy,27,30.3,92.6,13.3,45.5,47.38,11.4,11.1,4.3,21.9,17,34,0.5,20,43,0.465,0,1,0,4.7,0.4,77.3,-0.0920854,82.0754,7.6,1094,0.43756328,105.608,110.592,0.658625,49.6677,-3.70891,-2.86261,-0.846304,-6.81128,12.3333,-5.32879,-1.48248,1.2593,1.0741,2.3333,0.2593,0.0741,0.5556,2.1111,0.182158,0.155038759689922,BAJO
600,Bakari Lewis,UMKC,Sum,20,42.3,96.2,25.4,45.4,50.15,1.3,9.1,23.4,19.8,49,66,0.742,50,125,0.4,22,58,0.379,1.5,2.6,36.1,1.40783,100.277,4.2,1095,1.18604644,109.314,110.382,1.39686,83.4246,-2.45169,-0.320976,-2.13071,-0.989824,25.5,0.43036,-1.42018,0.3,1.8,2.1,2.55,1.1,0.35,10.75,6.81161,0.322988505747126,MEDIO
601,Brian Rudolph,Loyola MD,MAAC,32,76.7,96.6,18.5,40.8,49.26,1.4,8.6,30.5,25.4,93,126,0.738,68,160,0.425,9,40,0.225,0.3,1.4,63,1.20749,95.6045,3.1,1097,1.85895382,109.639,110.002,1.74798,134.978,-3.54112,-0.548509,-2.99261,-3.52663,30.8125,-1.28679,-2.23984,0.4062,2.25,2.6562,4.5312,0.75,0.0938,8,2.46823,0.254166666666667,BAJO
602,Ronnie Dixon,Dartmouth,Ivy,26,41.9,100.2,16.8,49.6,51.19,1.2,11.4,15.7,17.3,15,23,0.652,33,72,0.458,17,46,0.37,0.7,2.1,19.5,0.606885,94.2731,5.9,1098,1.45450254,104.035,109.123,1.03981,74.2868,-2.77672,-0.655646,-2.12107,-4.06798,17.7308,-3.24996,-0.818025,0.1923,1.5769,1.7692,1.2308,0.6154,0.1154,5.0769,6.05947,0.33756038647343,MEDIO
603,Garrett Kelly,Loyola MD,MAAC,10,1.4,65.5,12.7,50,50,6.1,0,11,52.1,0,0,0,1,1,1,0,1,0,0,0,0,-0.152657,59.8262,4.4,1101,0.5,116.498,117.317,0.0586627,1.44961,-9.99569,-5.57027,-4.42542,-9.15877,1.8,-5.12314,-4.03563,0.1,0,0.1,0.1,0,0,0.2,3.41145,0.333333333333333,MEDIO
604,Isaac Reid,Loyola MD,MAAC,32,56.2,90.4,17.6,37.8,42.87,10.6,18.3,5.3,19.7,44,62,0.71,47,131,0.359,15,53,0.283,2.8,1.2,33.7,0.308647,88.2246,4.6,1102,0.42857143,104.755,105.102,1.62574,123.331,-2.94722,-1.8929,-1.05433,-4.44635,22.5625,-2.51259,-1.93376,2.1875,3.5312,5.7188,0.5625,0.4688,0.625,5.7188,4.23192,0.26110230928033,BAJO
605,Chinemelu Elonu,Texas A&M,B12,33,59.1,112,20.4,66.3,65.87,13.8,21.5,2.9,22.9,69,113,0.611,126,190,0.663,0,0,0,6.7,0.8,59.5,2.70618,117.26,4.6,1103,0.16391669,96.6677,91.6972,2.83551,165.533,5.16497,2.36602,2.79895,5.17411,23.7273,3.16663,2.00748,2.7879,4.4242,7.2121,0.303,0.303,1.5758,9.7273,0,0,BAJO
606,Matt Steger,Northwestern,B10,4,0.4,60.6,12.5,0,0,0,0,35.7,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.138686,52.2932,0,1107,0,112.493,117.593,0.0376228,0.409084,-21.3256,-10.0857,-11.2399,-1.75227,1.25,-1.89136,0.139094,0,0,0,0.25,0,0,0,0,0,BAJO
607,Ivan Peljusic,Northwestern,B10,24,19,92.5,19.8,49,47.9,7.2,18.3,19.2,22.7,8,20,0.4,20,41,0.488,3,9,0.333,3.5,2,40,0.409974,96.3446,3.6,1108,1.31243437,97.5118,94.1126,1.09148,43.2163,0.702986,-1.33228,2.03526,1.30264,9.8333,-0.2446,1.54724,0.5417,1.375,1.9167,0.875,0.2917,0.25,2.375,2.52812,0.329268292682927,MEDIO
608,Brandon Ware,Dartmouth,Ivy,2,1.3,92.5,28,75,75,0,0,35.1,46.5,0,0,0,0,0,0,2,4,0.5,0,0,0,0.479718,104.017,8.6,1110,0.66666667,112.906,116.022,0.248839,1.30926,-17.4569,-4.6433,-12.8136,-8.33977,7,-1.60598,-6.73379,0,0,0,1,0,0,3,16.9827,0,BAJO
609,Andy Polka,Loyola Chicago,Horz,10,20.8,94,18.3,46.5,47.67,8.4,15.9,8.2,18.2,19,39,0.487,22,49,0.449,3,8,0.375,0.8,0.7,68.4,0.845512,93.7112,2.5,1113,0.71428573,104.99,105.172,1.88853,40.2297,-3.68007,-1.72694,-1.95313,-2.06952,25.8,-0.271308,-1.79822,2,3.4,5.4,1,0.3,0.2,7.2,1.90535,0.337159863945578,MEDIO
610,Cookie Miller,Nebraska,B12,30,68.4,101.4,17.9,49.7,55.95,0.9,8.9,27.2,24.2,58,71,0.817,46,103,0.447,23,59,0.39,0,3.3,43.8,1.69261,101.514,2.3,1115,1.84740944,95.1486,90.7695,3.48368,149.805,2.52864,0.329619,2.19902,2.78511,28.4,-0.00293288,2.78804,0.2,1.9333,2.1333,3.6333,1.5,0,7.3,4.32288,0.343782568153146,MEDIO
611,Marshall Moses,Oklahoma St.,B12,32,44.2,111,18.2,56.2,57.54,11.4,23.8,3.4,16.2,34,54,0.63,95,167,0.569,0,2,0,2.5,0.4,32,1.89948,112.603,6.9,1116,0.33339797,101.346,94.806,2.10892,125.686,0.408994,0.486931,-0.0779372,0.983035,19.4688,0.871027,0.112008,1.9375,4.1875,6.125,0.3438,0.125,0.4688,7,0.178131,0.189620758483034,BAJO
612,Niko Scott,Columbia,Ivy,24,57,99.8,18.1,52.9,56.44,4.6,6.7,12,22.8,52,79,0.658,32,73,0.438,27,64,0.422,0.2,2.2,57.7,0.941718,94.481,3.5,1118,0.79070157,98.8595,102.868,2.16282,98.4424,-0.761119,-0.717441,-0.0436775,-1.478,26.7083,-1.31609,-0.161915,1.0833,1.5,2.5833,1.4167,0.9583,0.0417,8.2083,5.96816,0.357056221461187,MEDIO
613,Wynton Witherspoon,George Washington,A10,24,53.7,98,18.8,45.7,47.88,3.8,11.8,17.2,18.1,24,36,0.667,51,122,0.418,19,52,0.365,2,1.4,20.7,1.11221,97.0983,3.4,1120,1.41173148,105.478,103.158,2.00303,98.2144,-0.0913347,0.283218,-0.374552,0.04507,25.5,0.50076,-0.45569,0.7917,2.7083,3.5,2,0.5833,0.4167,7.625,5.19662,0.32203656998739,MEDIO
614,Tajuan Porter,Oregon,P10,31,80.1,104.7,23.5,50.7,55.62,2.3,7.3,13.3,18.9,95,109,0.872,62,149,0.416,86,228,0.377,0.2,1.9,28.9,3.45695,115.368,2.6,1121,0.71427993,114.046,104.665,2.4011,136.471,1.59667,3.51113,-1.91445,2.73041,32.2903,3.98495,-1.25454,0.6774,1.7742,2.4516,1.7742,1.0323,0.0645,15.3871,13.1857,0.327298952078182,MEDIO
615,Elgin Fitzgerald,Dartmouth,Ivy,25,29.5,91.9,20,41.2,49.23,6.9,15.4,3.5,20.7,31,37,0.838,35,85,0.412,0,0,0,2.6,1.9,43.5,0.285094,90.7332,5.7,1124,0.22727273,102.068,106.737,0.861074,57.0682,-6.31975,-4.3586,-1.96115,-5.79144,12.96,-4.39908,-1.39236,0.8,1.56,2.36,0.2,0.4,0.32,4.04,0,0,BAJO
616,Stuart Cameron,Drexel,CAA,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.32077,-8.17401,0,1126,0,109.259,102.864,0.081208,0.0841139,-3.4976,-3.88817,0.390578,-11.7803,1,-7.82518,-3.95508,0,0,0,0,0,0,0,0,0,BAJO
617,Kasey Cunningham,USC,P10,4,2.9,82.1,22.1,44.4,44.62,15.7,17,4.7,26.9,3,7,0.429,4,9,0.444,0,0,0,5.5,4.5,77.8,-0.0367135,83.2347,8.8,1127,0.25,87.9891,82.9476,1.54076,10.1776,2.39001,-2.47566,4.86567,-0.103088,10.25,-4.96522,4.86213,1.25,1.5,2.75,0.25,0.75,0.5,2.75,0,0,BAJO
618,Derek Glasser,Arizona St.,P10,34,78.9,112.2,18.7,50.7,58.02,1.8,6.1,28.5,23.2,89,107,0.832,37,97,0.381,45,109,0.413,0,1.9,51.9,3.48481,115.174,1.9,1128,2.18915679,102.807,96.1519,3.39547,155.009,3.10221,3.3033,-0.201095,4.1434,32.9706,3.03334,1.11006,0.4118,1.6176,2.0294,4.7647,0.9412,0,8.7647,6.40498,0.333569784671648,MEDIO
619,Jerren Shipp,Arizona St.,P10,35,32.7,115.5,13.4,52.6,54.62,7.1,8.9,12.6,14.8,16,25,0.64,19,33,0.576,14,43,0.326,0.3,2.1,32.9,1.13158,109.163,3.4,1129,2.14274999,100.762,94.3184,1.45213,70.7992,4.75555,3.39567,1.35988,3.65021,13.2857,1.41328,2.23694,0.6571,0.9429,1.6,0.8571,0.4286,0.0286,2.7429,6.09662,0.354709889593611,MEDIO
620,Dwight Lewis,USC,P10,33,84.5,101.1,22.3,47.1,51.03,2.7,8.2,12.1,18.6,92,123,0.748,109,262,0.416,55,145,0.379,0.5,1.9,30.2,2.92086,107.767,2.3,1130,0.85186391,101.043,92.5366,4.19247,180.949,2.62027,1.93162,0.688647,2.45488,36.0909,1.4015,1.05338,0.7576,2.5455,3.303,2.0909,1.1212,0.1515,14.3939,7.42258,0.328332017197508,MEDIO
621,Terence Green,USC,P10,1,0.1,55.8,37.5,150,150,0,0,0,81.4,0,0,0,0,0,0,1,1,1,0,0,0,-0.139407,64.1795,0,1131,0,109.58,105.597,0.143448,0.177897,-19.3461,-18.0452,-1.30092,36.2541,2,36.5024,-0.24824,0,0,0,0,0,0,3,43.2557,0,BAJO
622,Taj Gibson,USC,P10,35,83.6,117.1,21.5,60.1,62.12,13.4,19,8.2,17.4,120,182,0.659,190,316,0.601,0,0,0,9.5,1.8,57.6,4.64739,124.31,3.5,1132,0.61110299,91.7663,84.1619,4.88672,259.815,11.3356,4.38556,6.95008,9.59617,33.6857,5.14951,4.44666,3.5143,5.5143,9.0286,1.2571,0.9714,2.8571,14.2857,0,0,BAJO
623,Jeff Ryan,Northwestern,B10,28,28,96.5,15.2,41.9,48.64,6.4,11.7,17,25.2,22,35,0.629,18,38,0.474,0,5,0,1.2,2.9,81.4,0.412412,93.8723,4.6,1134,1.49993011,99.4753,95.2363,1.33231,59.1053,0.599727,-0.850335,1.45006,-0.0477894,12.4286,-1.94713,1.89934,0.6071,1.1071,1.7143,1.0714,0.5357,0.1071,2.0714,0.953061,0.157894736842105,BAJO
624,Jeremy Nash,Northwestern,B10,31,46.5,98.1,13.9,47.4,49.84,4.9,10.6,11.9,20.6,17,26,0.654,25,56,0.446,14,41,0.341,1.4,4,26.8,0.596119,93.5019,5.1,1135,1.35995034,97.2534,93.3162,2.12698,107.038,3.47822,0.863468,2.61475,1.04724,18.6774,-1.29344,2.34068,0.7097,1.5161,2.2258,1.0968,1.129,0.1935,3.5161,4.70587,0.319541231126597,MEDIO
625,Jonathan Mandeldove,Connecticut,BE,7,1.1,0,11.4,0,0,0,12.2,0,63.5,0,0,0,0,2,0,0,0,0,0,0,0,-0.671781,-1.94415,7.5,1136,0,97.7445,92.4218,0.26373,2.41774,-11.2058,-11.0679,-0.137839,-15.4207,2.2857,-14.7369,-0.683816,0,0.2857,0.2857,0,0,0,0,0,0,BAJO
626,Stanley Robinson,Connecticut,BE,27,44.9,104.7,18.7,51.9,54.21,9.2,14.9,8.8,20.5,38,57,0.667,92,163,0.564,3,23,0.13,4.1,1.5,30.6,2.06283,109.299,2.1,1137,0.70452871,91.3225,84.1515,3.47067,133.243,6.69652,2.08111,4.6154,6.10941,24.5185,2.5929,3.51651,1.963,3.7407,5.7037,1.1481,0.6296,1.1111,8.5556,2.00646,0.253356450609051,BAJO
627,De'Suan Dixon,Jackson St.,SWAC,33,31.6,88.7,17.9,39.9,42.72,7.1,13.1,19.6,22.5,26,51,0.51,30,65,0.462,5,29,0.172,1.5,1.6,54.3,-0.0448976,83.244,4.2,1140,1.43328564,100.69,105.819,0.897515,75.9365,-3.68462,-2.58228,-1.10234,-2.82679,12.697,-2.15539,-0.671403,0.7879,1.4545,2.2424,1.303,0.3636,0.1818,3.0606,3.91062,0.240053050397878,BAJO
628,Nick Krenk,Nebraska,B12,12,2.3,36.1,12.8,0,0,0,4.5,25,33.6,0,0,0,0,2,0,0,2,0,0,0,0,-0.443173,31.4191,5.5,1141,1.99940002,103.817,103.826,0.188189,3.27701,-13.9691,-10.7828,-3.1863,-15.1348,2.4167,-11.3544,-3.78038,0,0.0833,0.0833,0.3333,0,0,0,4.35792,0,BAJO
629,Gavin Edwards,Connecticut,BE,35,28.1,123.9,15.1,64.6,67.6,12.5,14.6,5.2,19.3,35,47,0.745,51,79,0.646,0,0,0,5.9,1.7,59.5,1.44614,120.294,5.6,1142,0.57149999,89.7021,84.3637,1.68203,88.7811,9.27055,3.94995,5.32059,6.83631,11.8571,2.42816,4.40814,1.2857,1.7714,3.0571,0.3429,0.3429,0.7714,3.9143,0,0,BAJO
630,Kudus Ogbara,Alabama A&M,SWAC,19,33.5,74.5,12.6,41.5,47.47,4.4,14.8,6.2,35.2,18,29,0.621,17,38,0.447,0,3,0,4.4,1,70.7,-1.32368,61.6802,6.4,1143,0.38460978,98.6373,108.662,1.03175,63.9509,-6.66391,-7.47283,0.808915,-8.03136,17,-7.94427,-0.0870905,0.7368,2.2632,3,0.5263,0.3158,0.7895,2.7368,0.513846,0.149122807017544,BAJO
631,Jimmie Covington,Albany,AE,30,28.1,99,10.8,50,58.73,10.3,10.9,2.2,30.3,24,33,0.727,16,32,0.5,0,0,0,0.7,0.9,103.1,-0.00912777,84.0405,4.5,1144,0.21048477,102.489,104.73,0.868281,54.4792,-3.64272,-2.40203,-1.24068,-3.82123,11.6667,-3.07581,-0.745413,1.0667,1.0667,2.1333,0.1333,0.1667,0.0667,1.8667,0,0,BAJO
632,Brian Connelly,Albany,AE,31,75.7,99.2,15.1,45,48.88,3.8,13.8,7.5,17,50,71,0.704,98,216,0.454,1,5,0.2,0.7,0.8,32.1,0.643375,90.3867,3.6,1146,0.82500191,101.739,104.287,2.31077,152.136,-2.77621,-2.21391,-0.562297,-3.00366,30.4194,-2.54102,-0.462638,1.0323,3.5161,4.5484,1.0645,0.4194,0.1613,8.0323,0.321406,0.251234567901235,BAJO
633,Joey Shank,UTSA,Slnd,29,63.1,107.2,15,51.7,54.39,0.4,4.9,4.2,12.3,31,38,0.816,15,42,0.357,62,167,0.371,0,1.3,18.2,1.19932,97.9712,2.9,1149,0.62493957,106.916,109.16,1.49712,103.72,-1.44433,0.823871,-2.2682,-1.71214,25.6552,-0.14485,-1.56729,0.1034,1.0345,1.1379,0.5172,0.5862,0,8.5172,12.7975,0.304676361562589,MEDIO
