N,player_name,team,conf,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,porpag,adjoe,pfr,pid,ast.tov,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,extra,ET,VaCatEf
2705,Richie Frohlich,UTSA,Slnd,18,10.8,108.1,16.4,73.9,66.99,13.8,18.1,0,24.7,7,16,0.438,17,23,0.739,0,0,0,0.8,0.9,69.6,0.389758,100.629,8.2,5786,0,102.08,104.533,0.51773,22.7187,-7.62939,-2.61878,-5.01062,-4.05996,7.0556,-2.53063,-1.52933,0.8889,1.0556,1.9444,0,0.1111,0.0556,2.2778,0,0,BAJO
2706,Assane Sene,Virginia,ACC,22,33.7,80.1,12.3,38.5,37.35,10.4,19.4,2.8,21.9,6,21,0.286,25,65,0.385,0,0,0,9.2,0,32.3,-0.561991,74.8088,6.4,5787,0.33329261,99.7123,93.1006,1.97071,77.791,0.612923,-4.0404,4.65332,-2.12461,17.3182,-4.39865,2.27404,1.6364,2.9545,4.5909,0.2727,0,1.5909,2.5455,0,0,BAJO
2707,Sylven Landesberg,Virginia,ACC,28,84.7,105.8,25.5,45.9,53.72,5.4,14.5,17.6,17.9,148,185,0.8,134,293,0.457,16,51,0.314,0.3,1.7,53.8,4.0246,118.504,2,5788,1.01298185,103.044,96.6779,3.4782,169.485,3.71216,2.49839,1.21376,4.45876,34.1786,3.67078,0.787983,1.6786,4.3571,6.0357,2.7857,1,0.1071,16.5714,3.03468,0.309308706417721,MEDIO
2708,John Brandenburg,Virginia,ACC,8,2.3,121.4,12.2,60,67.23,4.2,21.9,0,17.9,2,2,1,3,5,0.6,0,0,0,11.5,4.4,40,0.296446,110.553,7.7,5789,0,87.9093,84.4241,0.471883,7.80243,5.11512,-2.06019,7.17531,7.95104,3.25,-0.691611,8.64265,0.125,0.625,0.75,0,0.25,0.375,1,0,0,BAJO
2709,Richard Sirju,Utah St.,WAC,2,0.9,79,10.1,33.3,33.33,0,9.4,0,0,0,0,0,1,2,0.5,0,1,0,0,0,0,-0.395694,66.7234,0,5791,0,107.16,111.395,0.335435,1.55488,-8.43071,-3.91576,-4.51494,-11.3326,6.5,-6.67282,-4.65976,0,0.5,0.5,0,0,0,1,5.23256,0.166666666666667,BAJO
2710,Stavon Williams,Utah St.,WAC,34,45.4,114.9,16.7,56.2,58.38,1.3,7.1,14,17.4,21,25,0.84,22,54,0.407,46,108,0.426,0.7,1.7,15.4,1.57267,109.223,3,5792,1.6428659,103.737,102.69,1.48576,89.3239,1.38044,2.80827,-1.42783,1.51626,18.2941,1.93207,-0.415807,0.1765,1.0588,1.2353,1.3529,0.4706,0.1176,5.9706,11.2028,0.348765432098765,MEDIO
2711,Jared Quayle,Utah St.,WAC,34,75.6,121.7,24.2,56,59.52,8.3,17.2,25.5,16.2,90,119,0.756,93,172,0.541,59,152,0.388,0.5,3,36.7,4.60291,128.12,2.3,5793,2.06352197,96.831,95.8535,3.19223,198.946,9.45673,7.78131,1.67543,9.18806,30.4706,7.30698,1.88107,1.8235,4.2941,6.1176,3.8235,1.4118,0.1471,13.3235,9.46845,0.374311505507956,MEDIO
2712,Brady Jardine,Utah St.,WAC,22,12.3,87.4,24.8,34.1,37.83,24.6,23.9,8.5,23.1,12,25,0.48,14,41,0.341,0,0,0,7,1.5,61,0.217998,92.5381,7.8,5794,0.53329419,92.9036,91.9846,0.90356,37.1074,-1.82253,-3.74071,1.91818,-6.12252,7.6818,-5.26111,-0.861416,1.3636,1.5,2.8636,0.3636,0.1818,0.5,1.8182,0,0,BAJO
2713,Scott Thomas,Bowling Green,MAC,29,30.2,106.7,16.5,52.2,55.04,5.6,13.2,10.6,19.2,15,19,0.789,17,36,0.472,20,54,0.37,1.5,2.2,21.1,0.815505,102.482,3.9,5808,1,96.895,99.5101,1.19791,65.9663,1.19537,0.850222,0.345148,2.45756,13.069,1.30971,1.14784,0.6207,1.5172,2.1379,0.6552,0.4483,0.1724,3.7586,9.03106,0.342592592592593,MEDIO
2714,Jacolby Hardiman,Central Michigan,MAC,30,76.1,87.4,21.8,48.3,47.54,8.4,11.1,9.9,23,60,141,0.426,115,237,0.485,0,1,0,0.4,3,59.2,0.535222,89.1725,3.2,5809,0.51946079,101.003,104.813,2.34079,158.501,-1.98163,-1.91261,-0.0690204,-2.47152,31.9667,-1.51419,-0.957335,2.2333,2.6333,4.8667,1.3333,1.5,0.1,9.6667,0.0651683,0.161744022503516,BAJO
